Subperiod,Comparison,PointEstimate,CI_Lower,CI_Upper,Significant
Pre-Crisis,DCEQ(MV),2.957600231333667,-2.8097779431543684,9.377829263535293,False
Pre-Crisis,DCEQ(MinVar),-0.21555983606284723,-2.205906329922939,2.477401693426072,False
Post-Crisis,DCEQ(MV),0.8714835042971423,-5.8573128438292805,9.066096689256597,False
Post-Crisis,DCEQ(MinVar),2.5709329984932694,-0.8793566912053706,6.134068223065621,False
