,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
1973-08-01,0.06920157990988773,0.0,1.7737805986386888e-17,0.13068510656879095,0.0,0.337800521952984,0.0,0.2335844773920848,0.2287283141762526,1.1987278828570062e-17
1973-09-01,0.07956490558186183,1.2151445805792649e-17,0.0,0.11836666806558553,6.628950017885685e-18,0.32430927480710897,7.300336146117168e-19,0.2290344313538352,0.24872472019160854,0.0
1973-10-01,0.02446680651145376,1.9567728905788845e-17,6.907853274002492e-18,0.11366399986914001,0.0,0.32480799719260806,7.125154018926718e-19,0.29393599506071316,0.24312520136608504,0.0
1973-11-01,0.012229748713406688,1.1202377038133646e-17,0.0,0.1255544464034519,0.0,0.32145487435026615,0.0,0.30582698059034175,0.23493394994253358,1.4032486543284457e-17
1973-12-01,3.14872743198614e-18,2.2094887456897873e-17,0.0,0.13986344272340076,1.0184855400527367e-17,0.36745569813093715,1.0002865774063413e-17,0.3120086647826708,0.1806721943629913,0.0
1974-01-01,2.1110357255358145e-18,0.0,0.0,0.1347555666003491,2.677645217338045e-17,0.36071317714464957,8.877426217679132e-18,0.3204877749427677,0.1840434813122335,2.0335562298467072e-17
1974-02-01,0.0,1.6828150188015873e-17,0.0,0.13319714953137582,5.835997843109253e-18,0.3657690292718914,0.0,0.3192170052141576,0.1818168159825753,6.279050814965273e-18
1974-03-01,0.0,1.0371026487976581e-17,2.671057231726639e-19,0.13451882629781184,0.0,0.3616459399997139,4.8784627497156396e-17,0.3200951273220917,0.18374010638038257,0.0
1974-04-01,0.0,5.542316164556572e-17,1.3171274617164356e-17,0.13057328851447586,1.2302267691816303e-17,0.3566526203318355,1.611268565198467e-17,0.32990670428831065,0.1828673868653779,0.0
1974-05-01,0.0,0.0,3.78650873701306e-17,0.13240350176262972,0.0,0.38800192979457865,1.0250973080474825e-18,0.3514657387277408,0.12812882971505082,1.0845633225849105e-17
1974-06-01,0.0,0.0,0.0,0.121270746709535,0.0,0.3963351646971938,0.0,0.3588551881679225,0.12353890042534864,2.8595788109974744e-18
1974-07-01,0.0,0.0,6.083310066178965e-18,0.12099150471088879,0.0,0.4139778537448469,2.445463366134351e-17,0.35544554793421085,0.10958509361005342,0.0
1974-08-01,0.0,0.0,9.805349182100297e-18,0.15081329366796817,2.3991528384840353e-17,0.361617494239248,0.0,0.29946128139261696,0.18810793070016693,0.0
1974-09-01,3.8621165580304025e-18,1.0012067908871569e-17,4.0346368997728547e-17,0.14080488145931253,0.0,0.4099303579405271,5.9713328426383556e-18,0.2954806568974715,0.1537841037026888,0.0
1974-10-01,0.0,1.393316454365842e-17,1.0109735112142584e-17,0.1298920724220001,1.2034422932025778e-17,0.4170333435753102,9.918214889982274e-18,0.251779397490839,0.20129518651185077,0.0
1974-11-01,0.00796933717407071,0.010994900986792166,0.0,0.08786109001507657,0.07910619925533541,0.5074650983090727,0.0,0.07218995867723818,0.23441341558241427,1.3268897991111075e-17
1974-12-01,0.0022221287511921175,0.011089193575775579,2.0779895235574156e-18,0.08236749176378602,0.07656835110399572,0.5069259024036685,1.862114635005082e-18,0.07808709271749882,0.24273983968408325,0.0
1975-01-01,1.3687687753867487e-17,0.013370383899891525,0.0,0.07930053894710296,0.07131694582730469,0.5106303875636641,1.407253912947309e-18,0.08466914036846153,0.2407126033935751,6.833040654842683e-18
1975-02-01,1.7932291641719886e-17,0.0,0.0,0.10859224408372713,7.813906882575041e-17,0.5495451064655318,2.6962887044057573e-18,0.20290228904236995,0.1389603604083709,0.0
1975-03-01,0.0,0.0,0.0,0.12840323547991817,1.2995513448751251e-17,0.5411209147928991,0.0,0.17128209967773786,0.15919375004944494,5.576451921654829e-18
1975-04-01,6.79450092496244e-18,1.6432568288253898e-17,0.0,0.12943072409919895,0.0,0.542600530115405,0.0,0.171763778639076,0.15620496714632015,9.775340473298206e-18
1975-05-01,6.524576556137496e-17,0.0,8.699789422985023e-18,0.12833537460296596,5.762677823413933e-19,0.5444776886629312,8.810018905738094e-18,0.17272006183987243,0.15446687489423033,0.0
1975-06-01,0.0,2.712911287079942e-17,1.879887788159669e-17,0.11028697600348523,0.0,0.577067239497985,0.0,0.17564213457676695,0.13700364992176273,1.231383145853041e-17
1975-07-01,1.8809484937486284e-17,0.0,2.8835518776012627e-18,0.10378968173589888,1.673185606764128e-17,0.5947169563037551,0.0,0.1895797020026871,0.11191365995765894,1.86409326300831e-17
