,1/N,Mean-Variance,Minimum Variance
1973-08-01,-0.035570000000000004,-0.06900000000000003,-0.041343807207671335
1973-09-01,0.05534755451406529,0.007800000000000038,0.06156272834091561
1973-10-01,-0.009013693386393793,0.018299999999999962,-0.016410504450986407
1973-11-01,-0.11885035515376541,-0.07760000000000004,-0.07471526529869509
1973-12-01,0.005426323612844671,-0.0448,0.019062561806004585
1974-01-01,0.01443941041933911,-0.02560000000000001,-0.0026339520365259157
1974-02-01,0.0024172357851785517,-0.012199999999999902,0.011651974746330828
1974-03-01,-0.022587812001276734,0.012099999999999965,-0.023942387445409295
1974-04-01,-0.04712613532896148,-0.01480000000000004,-0.05450747314061749
1974-05-01,-0.03078931371005824,-0.0012000000000000333,-0.02315194789120116
1974-06-01,-0.02286320540992231,-0.016200000000000034,-0.012858012315066506
1974-07-01,-0.07856917699305206,-0.1414,-0.08177892136867088
1974-08-01,-0.0813456550047747,-0.0806,-0.05451341579133976
1974-09-01,-0.10543854274364692,-0.15559999999999996,-0.07517207101830749
1974-10-01,0.15517327931150107,0.2959000000000001,0.17257721010882238
1974-11-01,-0.03700304494586242,-0.012300000000000035,-0.02784880995509706
1974-12-01,-0.02376740783422099,-0.03320000000000001,-0.0005349986391619482
1975-01-01,0.1497719810306153,-0.007499999999999836,0.12034373962140368
1975-02-01,0.0623835221066546,0.1607,0.06255378131132089
1975-03-01,0.031306176561926524,0.012900000000000024,-0.008164565503249071
1975-04-01,0.033215590413774386,0.00650000000000003,0.002693613778838589
1975-05-01,0.05683319405064881,0.0653,0.05918813819064897
1975-06-01,0.056922550711474416,0.00960000000000004,0.04647264097865728
1975-07-01,-0.06173702711396189,-0.12029999999999992,-0.058040954817004935
1975-08-01,-0.02490119162812506,-0.031884904553191984,-0.02954683423924775
1975-09-01,-0.03142866213430952,-0.04987469114862915,-0.02124875640952413
1975-10-01,0.07003031384208788,0.051482338592076314,0.0649746902166375
1975-11-01,0.034434641398708575,0.039765446080597865,0.033734692498281434
1975-12-01,-0.012958614290133005,-0.06368948339809337,-0.008411823516785544
1976-01-01,0.1175881734373417,0.07666702109091664,0.08971230001452088
1976-02-01,0.0036410638297872345,-0.03766072209720375,0.0033989364648509984
1976-03-01,0.029381839428565714,0.04650321460152724,0.025821967169399482
1976-04-01,-0.010776679487926637,-0.01575109292501976,0.008619910120384086
1976-05-01,-0.01527730711303835,0.01660021443245292,-0.013833190493484063
1976-06-01,0.0431345723627428,0.04732532184083176,0.0391343066018039
1976-07-01,-0.002914551728765469,-0.006793554804555121,0.008460540141397032
1976-08-01,0.006273369436588644,-0.008900000000000002,0.032748798362189024
1976-09-01,0.026588602857881036,0.05466193768152036,0.028624592973139996
1976-10-01,-0.01765485219491764,-0.02800356101476679,-0.0027507988028330176
1976-11-01,0.006419683841941338,0.002515374143693486,0.011264532943541284
1976-12-01,0.0577129545251319,0.04716985698793039,0.04614401976482006
1977-01-01,-0.03703823489374574,-0.024473018523798205,-0.00860671862572797
1977-02-01,-0.015468115135404545,-0.033608588622644646,-0.0024443271255005835
1977-03-01,-0.012669005138829638,-0.02070000000000001,-0.012021587728846128
1977-04-01,-0.0007411955762160753,0.025199999999999997,0.0035264179847469446
1977-05-01,-0.008979112187409304,-0.004300000000000007,0.007277905486737749
1977-06-01,0.05413265189579671,0.06089999999999991,0.0377545837162425
1977-07-01,-0.009722045836139595,-0.018,-0.010886912461498095
1977-08-01,-0.00565280607865905,-0.05523178810275839,-0.021784345735021523
1977-09-01,0.0035362038796874534,0.013524696999273762,0.02490415659648344
1977-10-01,-0.03681297015891993,-0.04580945048572558,-0.043468241221749734
1977-11-01,0.04408003114456266,0.026727585410515044,0.029732552988082462
1977-12-01,0.0060431099873577655,0.020095059241595877,0.017530688263149158
1978-01-01,-0.05258711261306033,-0.051702806941261996,-0.042650264141921794
1978-02-01,-0.006640013087623754,0.02335639109021522,0.022220447890811817
1978-03-01,0.03311371806486682,0.02345513819843803,0.027368127898908516
1978-04-01,0.08039026452056251,0.029051593145733367,0.04071782817769484
1978-05-01,0.020246968328304582,-0.003590361471672871,0.006304130608208549
1978-06-01,-0.010567852585776026,-0.015779090727848697,-0.012328725369058088
1978-07-01,0.05281688795464422,0.014351274843209224,0.02830865437448542
1978-08-01,0.039247633158574574,0.03478497201982723,0.030028696001048523
1978-09-01,-0.00835523933227499,0.012058856021238892,0.008341033504489606
1978-10-01,-0.10831034808211995,-0.048025694103783365,-0.06592468915800316
1978-11-01,0.033224298818094126,0.029800584391555324,0.03564848710091353
1978-12-01,0.014527697176147252,0.0010000000000000046,0.005703170975540269
1979-01-01,0.04626638001557277,0.036600000000000014,0.03586076230421207
1979-02-01,-0.028792359631098573,-0.0065000000000000275,-0.011381099905496078
1979-03-01,0.05670855745570232,0.004769605337285211,0.01735520870784922
1979-04-01,0.005125512784117792,-0.015904207613587813,-0.013863162141633958
1979-05-01,-0.01310498781373415,-0.023181159684998537,-0.0038489399187952187
1979-06-01,0.041051517979269855,0.051460286509640366,0.030327716102444387
1979-07-01,0.012787540989905005,0.01067032870661614,0.0019588221469095933
1979-08-01,0.06058725930021325,0.0793,0.029770694817004555
1979-09-01,-0.004627488308945533,0.059199999999999996,-0.013382708455972869
1979-10-01,-0.07043248837232664,-0.025500000000000023,-0.047216984473371214
1979-11-01,0.05615862355320338,0.0892,0.05309536387800213
1979-12-01,0.021991043672545833,0.024899999999999995,-0.006800384188971444
1980-01-01,0.04564658324446488,0.14049999999999996,0.0014476510146616915
1980-02-01,-0.0221836464828061,0.1299999999999999,0.006018400810765359
1980-03-01,-0.09355357705953928,-0.17909999999999993,-0.05047896735218885
1980-04-01,0.049535704768312726,0.0686,0.0704050793407192
1980-05-01,0.06271763262934277,0.04129999999999991,0.05078159312359385
1980-06-01,0.028619555910994014,0.0584,0.0021721792996928645
1980-07-01,0.0751604947992612,0.020099999999999927,0.017722922804437678
1980-08-01,0.021610626563618958,0.0366,0.05597912988410283
1980-09-01,0.019625621452339013,0.06529999999999998,-0.0026117981537457776
1980-10-01,0.006502327155045602,0.07759999999999999,-0.016612104838879354
1980-11-01,0.07431505160989084,0.243,0.03388799805956889
1980-12-01,-0.011523644757171311,-0.1059,-0.00018502860379309658
1981-01-01,-0.022065810980296967,-0.1016,0.03470314283665899
1981-02-01,0.020322390470834815,-0.0031000000000000008,0.018708283554043758
1981-03-01,0.054732781436186886,-0.020499999999999866,0.011050484701896417
1981-04-01,0.0039894628416491966,-0.07799999999999999,0.04819268228783455
1981-05-01,0.023469787776483127,-0.03949999999999998,0.05847693528921258
1981-06-01,-0.014693786635404446,0.04709999999999998,-0.012738904904277436
1981-07-01,-0.009398983154049126,0.07939999999999997,0.01137985426184361
1981-08-01,-0.05407159256305956,-0.06339999999999998,-0.0169386726226453
1981-09-01,-0.04152177893813355,-0.12299999999999997,0.00818904360365189
1981-10-01,0.054406746437438716,0.09600000000000002,0.06466736083601596
1981-11-01,0.03913459532502013,0.0684999999999999,0.032383055739133366
1981-12-01,-0.019754765455857592,-0.0641,-0.020413933543536614
1982-01-01,-0.01050779418965236,-0.08469999999999998,-0.0037644783096121713
1982-02-01,-0.039349426815958585,-0.11199999999999992,-0.06122410565964207
1982-03-01,0.0012836638321346318,-0.02609453608963378,0.013256103020172558
1982-04-01,0.04481753677314985,0.032623214884802944,-0.002037030390177388
1982-05-01,-0.024894597349155473,0.02080540056795222,0.0018133011719084031
1982-06-01,-0.012162277504896464,-0.05961330778307727,-0.02684352203183781
1982-07-01,-0.013241889385995083,-0.06300015325900317,0.0017124853976828072
1982-08-01,0.1191104820290413,0.10198369196774112,0.10931605654389934
1982-09-01,0.018713996711995824,0.012414844586087099,0.010553887950810218
1982-10-01,0.11606677218606751,0.06507026177924495,0.07708225896919592
1982-11-01,0.05524145007391479,0.005456931330450333,0.045362772050191916
1982-12-01,0.013016204864368068,0.006680076617858532,-0.001224295355319206
1983-01-01,0.04274851653720498,0.08314181615537887,0.10813150204774398
