Strategy,Point (%),CI Low (%),CI High (%),Significant
Mean-Variance,2.281946228791969,-1.9499933966447394,6.942815459995566,False
Minimum Variance,0.6855300318440509,-1.179458130360568,2.5171293224797333,False
