,1/N,Mean-Variance,Minimum Variance
1973-08-01,0.10000000000000003,1.0,0.24285499815707315
1973-09-01,0.10000000000000003,1.0,0.2398385052150806
1973-10-01,0.10000000000000003,0.9999999999999982,0.26452659725902505
1973-11-01,0.10000000000000003,1.0,0.2679708249014219
1973-12-01,0.10000000000000003,1.0,0.28457732141473996
1974-01-01,0.10000000000000003,0.9999999999999998,0.28485747579686105
1974-02-01,0.10000000000000003,1.0,0.2864853144097226
1974-03-01,0.10000000000000003,0.9999999999999996,0.28510441777483797
1974-04-01,0.10000000000000003,1.0,0.2865293899763956
1974-05-01,0.10000000000000003,0.9999999999999993,0.3080213473069089
1974-06-01,0.10000000000000003,0.9999999999999998,0.3158270627763792
1974-07-01,0.10000000000000003,1.0,0.32436703789117044
1974-08-01,0.10000000000000003,0.9999999999999991,0.27857351433246025
1974-09-01,0.10000000000000003,0.999999999999996,0.2988272821562204
1974-10-01,0.10000000000000003,1.0,0.29470137724537554
1974-11-01,0.10000000000000003,1.0,0.33184362562263753
1974-12-01,0.10000000000000003,1.0,0.3347691185072894
1975-01-01,0.10000000000000003,0.9999999999999984,0.3374082628717308
1975-02-01,0.10000000000000003,1.0,0.3742714201788102
1975-03-01,0.10000000000000003,1.0,0.36397944303283497
1975-04-01,0.10000000000000003,0.9999999999999998,0.36507043503591796
1975-05-01,0.10000000000000003,0.9999999999999998,0.3666181570277707
1975-06-01,0.10000000000000003,0.9999999999999993,0.3947899755083861
1975-07-01,0.10000000000000003,0.9999999999999996,0.4129256868465879
1975-08-01,0.10000000000000003,0.8340287577177818,0.42139991115694647
1975-09-01,0.10000000000000003,0.5572362395245949,0.4152652411531733
1975-10-01,0.10000000000000003,0.5048394073042377,0.4109762834176694
1975-11-01,0.10000000000000003,0.7787480855307529,0.40778074741587916
1975-12-01,0.10000000000000003,0.970764926476759,0.41932865886523746
1976-01-01,0.10000000000000003,0.5493912180888719,0.42034731105284856
1976-02-01,0.10000000000000003,0.3887594927210526,0.413297555143053
1976-03-01,0.10000000000000003,0.4536408945450745,0.40255358891487303
1976-04-01,0.10000000000000003,0.415767420650473,0.42931637946753004
1976-05-01,0.10000000000000003,0.4879819880365081,0.4284440672421353
1976-06-01,0.10000000000000003,0.8869895098554674,0.4244604636484483
1976-07-01,0.10000000000000003,1.0,0.4253992438930501
1976-08-01,0.10000000000000003,0.9999999999999998,0.4267446416870568
1976-09-01,0.10000000000000003,0.7621820924204774,0.3982010363324958
1976-10-01,0.10000000000000003,0.6542457770474595,0.40337308786590514
1976-11-01,0.10000000000000003,0.46661351093229686,0.408116816457292
1976-12-01,0.10000000000000003,0.5312936125065224,0.4121111420167082
1977-01-01,0.10000000000000003,0.5345531177326563,0.42563889573025454
1977-02-01,0.10000000000000003,1.0,0.4405963407860367
1977-03-01,0.10000000000000003,1.0,0.44591125505326784
1977-04-01,0.10000000000000003,1.0,0.4445157511897453
1977-05-01,0.10000000000000003,0.9999999999999998,0.44293165127448864
1977-06-01,0.10000000000000003,1.0,0.45192077546280707
1977-07-01,0.10000000000000003,1.0,0.47322072209809285
1977-08-01,0.10000000000000003,0.7831156678968436,0.5108728419387281
1977-09-01,0.10000000000000003,0.5981038596162149,0.5122198520562994
1977-10-01,0.10000000000000003,0.5013475435508479,0.5075097709322058
1977-11-01,0.10000000000000003,0.510116336372913,0.4867396093800889
1977-12-01,0.10000000000000003,0.50416552781012,0.4946475376498971
1978-01-01,0.10000000000000003,0.5688688219368417,0.490937445676531
1978-02-01,0.10000000000000003,0.550434037570005,0.49198572621490666
1978-03-01,0.10000000000000003,0.7762591874636521,0.48412840369750404
1978-04-01,0.10000000000000003,0.9577942644209104,0.48145674636321095
1978-05-01,0.10000000000000003,0.9333917971538488,0.470956601319217
