,1/N,Mean-Variance,Minimum Variance
1973-08-01,0.0,0.0,0.0
1973-09-01,0.010489097186939453,1.795682544074185e-15,0.05419874884678731
1973-10-01,0.026738677278756853,1.54468483993706e-15,0.1531129593663543
1973-11-01,0.030071030753087383,2.273889526872102e-15,0.03139943803051627
1973-12-01,0.04073527743106771,1.1669690151373944e-15,0.10992479949438592
1974-01-01,0.03411791613217581,2.057063246806746e-15,0.057916706326963746
1974-02-01,0.028552842964291697,8.999861326179556e-16,0.028802403475142395
1974-03-01,0.011562400255346286,1.0866443543794243e-15,0.033771313689720514
1974-04-01,0.015227065792300515,1.8711288219793135e-15,0.009415719319541762
1974-05-01,0.023862742011648008,6.145714260248129e-16,0.08323675101152304
1974-06-01,0.02664108198446348,2.0839744793497268e-15,0.01092085803446827
1974-07-01,0.01783539861041472,2.2203219840809816e-15,0.022836903651891276
1974-08-01,0.039131000954944026,1.269029705934277e-15,0.17528443653986492
1974-09-01,0.027708548729390034,3.806395949244181e-15,0.06496698926882484
1974-10-01,0.043344137699787594,4.832267339019199e-15,0.07452746395451879
1974-11-01,0.04260898917248725,7.838181914527082e-16,0.5037431289716207
1974-12-01,0.015481566844198075,1.4128205698403366e-15,0.02026552367736348
1975-01-01,0.02160379387694482,1.548161865410056e-15,0.0237438181458187
1975-02-01,0.04929557866907841,2.1600544165042935e-15,0.4084169266114259
1975-03-01,0.03476468761469184,4.805110812813501e-16,0.10320172002453154
1975-04-01,0.034881917245123545,1.3503354161233293e-15,0.010294445182884427
1975-05-01,0.02536118987023292,1.1551930990797415e-15,0.020198125114800392
1975-06-01,0.01948985770511656,1.0214866220571905e-15,0.09351843095438855
1975-07-01,0.023405422792378547,2.7579573140778725e-15,0.08280313079005461
1975-08-01,0.02223832562501328,0.18265214539000346,0.020460194323327515
1975-09-01,0.013732426861906677,0.4748309037405863,0.008656049640108486
1975-10-01,0.019937231582424872,0.2150876916303815,0.0221307813324766
1975-11-01,0.025071720258286356,0.5917763863119057,0.0835844784782569
1975-12-01,0.011722858026600683,0.209302931219698,0.05720881950766373
1976-01-01,0.014365312531658403,0.6540161996282889,0.007490389009455824
1976-02-01,0.029787234042553193,0.344181404038432,0.01999400477170481
1976-03-01,0.031632114286852794,0.7889857661916121,0.061307038771478625
1976-04-01,0.017335897585329385,0.2399863086016844,0.07903916394097603
1976-05-01,0.021461422607676042,0.34510824292222547,0.014819007918386267
1976-06-01,0.019085527451438294,0.5441959311088378,0.012203434615838712
1976-07-01,0.010910345753093742,0.1187109609110236,0.007321606573438537
1976-08-01,0.013326112682271296,5.341525610492208e-16,0.008745692082739707
1976-09-01,0.02027942842379317,0.2758700497556019,0.07640153966363204
1976-10-01,0.01497043898352958,0.17386681410641275,0.02638349688848986
1976-11-01,0.014063231611734228,0.5023731069867436,0.024566852736255026
1976-12-01,0.025409094973621163,0.2267261592255278,0.024890285669017746
1977-01-01,0.01564697874914918,0.005178118175471632,0.041350246822081896
