,1/N Benchmark,Mean-Variance,Minimum Variance
Mean Return (%),12.297532607003014,11.207445199446948,11.253680509488987
Volatility (%),15.111192881437466,21.603701408489904,12.517337463135334
Sharpe Ratio,0.529121471487811,0.31964750276970977,0.5553740590858062
CEQ (%),6.853915861862295,4.571969633070316,6.168385830018243
Turnover (%),2.398833868444646,15.9479681850724,5.149579588886313
