M,OOS,N,CEQ_1N,Sharpe_1N,TO_1N,CEQ_MV,Sharpe_MV,TO_MV,CEQ_MinVar,Sharpe_MinVar,TO_MinVar,dCEQ_MV,dCEQ_MinVar
60,1968-08 -- 2025-12,689,6.171146143702618,0.4850647490164258,2.3516760094524933,4.1777823149609175,0.29945771029670964,23.283500031796514,5.07462504213795,0.46516509043566745,9.862428066218078,1.9933638287417006,1.0965211015646679
90,1971-02 -- 2025-12,659,6.590481273100108,0.5155192834892667,2.370160736763216,4.433130561068077,0.31706093281674064,21.72047984869529,5.600553089487702,0.5175633128578137,6.63499822066203,2.1573507120320317,0.9899281836124061
120,1973-08 -- 2025-12,629,6.853915861862295,0.529121471487811,2.398833868444646,4.571969633070316,0.31964750276970977,15.9479681850724,6.168385830018243,0.5553740590858062,5.149579588886313,2.2819462287919787,0.6855300318440518
180,1978-08 -- 2025-12,569,7.702655299417878,0.5960239023921504,2.4274564527537525,5.490425163597877,0.3946950952670528,15.300307226142355,7.1642008683391945,0.6455726794266358,3.911527582105409,2.2122301358200014,0.5384544310786836
