Strategy,Mean Excess Return (%),Volatility (%),Sharpe Ratio,CEQ Return (%),DCEQ (%),Turnover (%)
1/N,7.995656613362309,15.111192881437455,0.5291214714878101,6.853915861862278,,2.3988338684446413
Mean-Variance,6.90556920580625,21.603701408489894,0.3196475027697095,4.571969633070309,2.281946228791969,15.9479681850724
Minimum Variance,6.951804515848284,12.517337463135322,0.5553740590858054,6.168385830018227,0.6855300318440509,5.149579588886309
