TC_bps,CEQ_1N,Sharpe_1N,CEQ_MV,Sharpe_MV,CEQ_MinVar,Sharpe_MinVar,dCEQ_MV,dCEQ_MinVar
0,6.997873436060481,0.5386526984536274,5.528243110560411,0.36389268686952536,6.4773126694766106,0.5800400593364362,1.46963032550007,0.5205607665838707
25,6.925895153030727,0.5338871740754425,5.050441677480362,0.3417960802185974,6.322859359329677,0.567710910693511,1.8754534755503656,0.60303579370105
50,6.853915861862295,0.529121471487811,4.571969633070316,0.31964750276970977,6.168385830018243,0.5553740590858062,2.2819462287919787,0.6855300318440518
100,6.709954255109399,0.5195895569615168,3.613013710260234,0.27523267513581867,5.859378113901865,0.5306791565978004,3.096940544849165,0.8505761412075339
