gamma,CEQ_1N,Sharpe_1N,TO_1N,CEQ_MV,Sharpe_MV,TO_MV,CEQ_MinVar,Sharpe_MinVar,TO_MinVar,dCEQ_MV,dCEQ_MinVar
1,6.853915861862295,0.529121471487811,2.398833868444646,4.571969633070316,0.31964750276970977,15.9479681850724,6.168385830018243,0.5553740590858062,5.149579588886313,2.2819462287919787,0.6855300318440518
3,4.570434358862231,0.529121471487811,2.398833868444646,2.2022663610567506,0.39870744188367224,15.652952093988178,4.601548458358129,0.5553740590858062,5.149579588886313,2.3681679978054806,-0.031114099495898273
5,2.2869528558621677,0.529121471487811,2.398833868444646,0.08539134091885177,0.424063448791323,14.960285517832665,3.0347110866980156,0.5553740590858062,5.149579588886313,2.201561514943316,-0.7477582308358479
